date;source;duta;dutb;temp;temp2;
10202018-13:14:53;-2.60;-2.600001814;-2.600002657;34.9;33.8;
10202018-13:16:05;-2.50;-2.500001981;-2.500002648;34.9;33.8;
10202018-13:17:17;-2.40;-2.400002024;-2.400002517;34.9;33.8;
10202018-13:18:30;-2.30;-2.300001959;-2.300002526;34.9;33.8;
10202018-13:19:42;-2.20;-2.200001699;-2.200002395;34.9;33.8;
10202018-13:20:54;-2.10;-2.100001599;-2.100002264;34.9;33.8;
10202018-13:22:07;-2.00;-2.000001802;-2.000002203;34.8;33.8;
10202018-13:23:19;-1.90;-1.900001382;-1.900002194;34.8;33.8;
10202018-13:24:31;-1.80;-1.800001620;-1.800002010;34.8;33.8;
10202018-13:25:44;-1.70;-1.700001698;-1.700001932;34.8;33.8;
10202018-13:26:56;-1.60;-1.600001616;-1.600002011;34.9;33.8;
10202018-13:28:08;-1.50;-1.500001658;-1.500001932;34.9;33.8;
10202018-13:29:21;-1.40;-1.400001505;-1.400001836;34.9;33.8;
10202018-13:30:33;-1.30;-1.300001530;-1.300001775;34.9;33.8;
10202018-13:31:45;-1.20;-1.200001554;-1.200001644;34.9;33.8;
10202018-13:32:58;-1.10;-1.100001561;-1.100001688;34.9;33.7;
10202018-13:34:10;-1.00;-1.000001550;-1.000001557;34.9;33.8;
10202018-13:35:22;-0.90;-0.900001326;-0.900001566;34.9;33.8;
10202018-13:36:35;-0.80;-0.800001279;-0.800001504;35.0;33.8;
10202018-13:37:47;-0.70;-0.700001215;-0.700001496;34.9;33.8;
10202018-13:38:59;-0.60;-0.600001417;-0.600001487;35.0;33.8;
10202018-13:40:12;-0.50;-0.500001246;-0.500001286;35.0;33.8;
10202018-13:41:24;-0.40;-0.400001111;-0.400001173;34.9;33.8;
10202018-13:42:37;-0.30;-0.300000993;-0.300001129;34.9;33.8;
10202018-13:43:49;-0.20;-0.200001089;-0.200001243;34.9;33.8;
10202018-13:45:01;-0.10;-0.100000616;-0.100001024;34.8;33.8;
10202018-13:46:14;0.00;-0.000000053;-0.000000315;34.9;33.8;
10202018-13:47:26;0.10;0.099999886;0.099999693;34.9;33.8;
10202018-13:48:38;0.20;0.200000004;0.199999842;34.9;33.8;
10202018-13:49:51;0.30;0.300000086;0.299999903;34.9;33.8;
10202018-13:51:03;0.40;0.400000026;0.399999912;34.9;33.8;
