date;source;3458b;3459x;3458ff;2002ltc;d1281;h34420a;h34401;k2001;k2001m;sdev;sdev2;sdev3;sdev4;sdev5;sdev6;sdev7;sdev8;sdev9;temp;temp2;temp3;temp4;temp5;roomtemp;roomr;roomp;Unnamed: 28
06132026-16:41:32;1.670015;1.67001522;1.67001283;1.67001529;1.67001348;1.6700135;1.6700095;1.6700123;1.6700076;1.6700102;3.61755e-08;9.43056e-08;1.59094e-07;2.12289e-07;8.16497e-08;2.44949e-07;2.50909e-06;7.78888e-07;8.16497e-08;34.2;35.7;38.7;23.0;23.0;24.09;45.1;999.98;
06132026-11:48:58;1.670584;1.67058398;1.67058224;1.67058477;1.67058178;1.6705815;1.6705793;1.670584;1.670579;1.6705794;6.77561e-08;8.66141e-08;1.57392e-07;3.74166e-08;9.42809e-08;1.88562e-07;1.49666e-06;1.24722e-07;1.41421e-07;34.1;35.5;38.8;23.0;23.0;22.82;45.8;1001.36;
06132026-12:47:01;1.706739;1.7067389;1.70673732;1.70673913;1.70673743;1.7067362;1.7067337;1.7067396;1.7067322;1.7067339;1.13722e-07;1.23475e-07;1.79579e-07;1.4197e-07;1.69967e-07;1.24722e-07;9.79796e-07;2.49444e-07;4.71405e-08;33.9;35.3;38.5;23.0;23.0;23.32;46.1;1000.94;
06132026-15:04:00;1.797942;1.79794205;1.79794009;1.79794206;1.79793999;1.7979393;1.7979361;1.7979407;1.7979358;1.7979363;1.58015e-07;9.15436e-08;1.32706e-07;1.43836e-07;1.69967e-07;1.69967e-07;1.69706e-06;4.71405e-08;1.41421e-07;34.0;35.4;38.6;23.0;23.0;22.65;46.1;999.83;
06132026-13:17:12;1.827533;1.82753315;1.82753126;1.82753295;1.82753123;1.8275305;1.8275271;1.8275326;1.82753;1.8275277;2.50296e-07;2.3541e-07;2.65529e-07;1.55778e-07;9.42809e-08;2.49444e-07;1.54128e-06;1.58395e-06;3.74166e-07;34.0;35.4;38.6;23.0;23.0;23.3;45.9;1000.73;
06132026-14:12:56;1.830192;1.83019204;1.83019039;1.83019214;1.8301904;1.8301895;1.8301861;1.8301925;1.8301866;1.8301869;2.35857e-07;2.53228e-07;5.03742e-08;1.02089e-07;2.0548e-07;9.42809e-08;1.02089e-06;2.62467e-07;1.69967e-07;33.9;35.3;38.5;23.0;23.0;23.27;46.0;1000.07;
06132026-13:07:55;1.852835;1.85283496;1.8528331;1.85283529;1.85283273;1.8528324;1.8528294;1.8528342;1.8528325;1.8528299;2.34365e-07;2.44026e-07;1.42906e-08;8.99383e-08;2.49444e-07;1.63299e-07;2.50909e-06;1.51217e-06;2.94392e-07;34.1;35.4;38.6;23.0;23.0;22.88;46.1;1000.97;
06132026-18:07:26;1.920971;1.92097131;1.92096875;1.92097241;1.92096951;1.9209695;1.9209658;1.9209712;1.9209656;1.9209659;1.86714e-07;4.6669e-08;4.58427e-07;1.21198e-07;9.42809e-08;2.35702e-07;1.49666e-06;4.49691e-07;9.42809e-08;35.0;36.5;39.8;23.0;23.0;24.38;44.6;999.69;
06132026-10:02:11;1.959724;1.95972388;1.95972191;1.95972487;1.95972149;1.9597216;1.9597193;1.9597241;1.9597199;1.9597192;3.92669e-07;1.60637e-07;2.02347e-07;2.74024e-07;2.16025e-07;4.71405e-08;5.65685e-07;4.10961e-07;2.62467e-07;34.3;35.7;38.9;23.0;23.0;23.79;44.9;1001.05;
06132026-14:57:03;1.978334;1.97833379;1.97833211;1.97833402;1.97833204;1.9783317;1.9783271;1.9783325;1.978329;1.9783292;5.79828e-08;3.98062e-07;5.17451e-08;1.46363e-07;3.74166e-07;3.29983e-07;6.12826e-07;5.88784e-07;2.16025e-07;34.0;35.3;38.6;23.0;23.0;22.72;46.1;999.95;
06132026-12:44:42;1.999396;1.99939595;1.9993941;1.99939613;1.99939407;1.9993934;1.9993898;1.9993943;1.999388;1.9993906;1.84451e-07;2.69209e-07;9.09811e-08;9.46338e-08;9.42809e-08;2.94392e-07;1.53261e-06;1.24722e-07;2.0548e-07;33.9;35.4;38.5;23.0;23.0;23.15;46.1;1000.93;
06132026-12:09:52;2.002071;2.00207118;2.00206887;2.00207104;2.0020686;2.0020679;2.0020655;2.0020701;2.0020641;2.0020661;1.70846e-07;8.45261e-08;1.81817e-07;1.25521e-07;8.16497e-08;4.6428e-07;9.79796e-07;2.94392e-07;2.35702e-07;34.0;35.4;38.7;23.0;23.0;22.7;46.0;1001.28;
06132026-13:31:08;2.003162;2.00316185;2.00315986;2.0031623;2.00315977;2.0031597;2.0031553;2.0031632;2.0031559;2.003157;1.05711e-07;1.13114e-07;4.21334e-07;7.31817e-08;2.0548e-07;3.29983e-07;1.7442e-06;1.69967e-07;2.16025e-07;34.0;35.4;38.6;23.0;23.0;22.74;46.0;1000.51;
06132026-12:37:44;2.005628;2.00562811;2.00562598;2.00562853;2.00562613;2.0056258;2.0056219;2.0056272;2.0056217;2.0056225;2.51404e-07;2.29159e-07;2.78402e-07;6.2361e-08;1.24722e-07;2.0548e-07;1.54128e-06;1.69967e-07;4.71405e-08;34.0;35.3;38.6;23.0;23.0;22.73;45.9;1000.99;
06132026-16:25:16;2.029929;2.02992927;2.02992695;2.02992923;2.02992758;2.0299272;2.0299218;2.0299287;2.0299212;2.029925;8.6151e-08;1.70771e-07;1.9827e-07;1.00775e-07;1.24722e-07;1.69967e-07;1.02089e-06;1.22837e-06;1.63299e-07;33.9;35.4;38.5;23.0;23.0;24.01;45.5;1000.22;
06132026-17:16:21;2.03633;2.03632982;2.03632767;2.03633077;2.03632835;2.0363289;2.0363247;2.0363306;2.0363241;2.0363257;2.68388e-07;1.19973e-07;5.71548e-08;1.43372e-07;3.29983e-07;2.0548e-07;6.12826e-07;8.80656e-07;1.69967e-07;34.7;36.2;39.3;23.0;23.0;24.38;44.6;999.6;
06132026-12:42:22;2.039231;2.03923058;2.03922901;2.03923128;2.03922878;2.0392284;2.0392245;2.0392292;2.0392235;2.0392262;1.90727e-07;7.17511e-08;2.73512e-07;1.79691e-07;2.0548e-07;1.69967e-07;1.13137e-06;3.09121e-07;2.62467e-07;34.0;35.3;38.5;23.0;23.0;22.99;46.1;1001.04;
06132026-13:56:41;2.069635;2.0696351;2.06963308;2.06963517;2.06963302;2.0696327;2.0696284;2.069634;2.0696272;2.0696296;8.70492e-08;1.50453e-07;8.73053e-08;5.65685e-08;1.88562e-07;1.24722e-07;1.49666e-06;8.37987e-07;1.88562e-07;34.0;35.4;38.6;23.0;23.0;22.76;46.0;1000.12;
06132026-09:50:34;2.078069;2.07806916;2.07806669;2.07806993;2.07806686;2.0780672;2.0780645;2.0780678;2.0780625;2.0780611;3.08094e-07;3.43769e-07;2.10647e-07;1.89268e-07;2.94392e-07;1.24722e-07;1.17851e-06;1.69967e-07;1.39523e-06;34.5;35.8;39.0;23.0;23.0;23.21;44.7;1001.05;
06132026-13:38:06;2.086132;2.08613191;2.08612979;2.08613177;2.08612997;2.0861293;2.0861248;2.086132;2.0861243;2.0861264;2.67677e-07;1.3513e-07;8.73053e-08;1.19536e-07;2.49444e-07;2.0548e-07;6.12826e-07;3.29983e-07;1.63299e-07;33.9;35.3;38.5;23.0;23.0;23.15;46.1;1000.54;
06132026-18:05:07;2.09519;2.09518982;2.09518762;2.09519098;2.09518792;2.0951881;2.0951845;2.0951877;2.095182;2.0951849;1.51217e-07;9.92315e-08;2.14489e-07;2.61958e-07;2.82843e-07;3.55903e-07;1.7442e-06;2.49444e-07;1.63299e-07;35.0;36.5;39.8;23.0;23.0;24.3;44.6;999.87;
