date;source;3458b;3459x;3458ff;2002ltc;d1281;h34420a;h34401;k2001;k2001m;sdev;sdev2;sdev3;sdev4;sdev5;sdev6;sdev7;sdev8;sdev9;temp;temp2;temp3;temp4;temp5;roomtemp;roomr;roomp;Unnamed: 28
06142026-15:49:08;-19.590856;-19.5908622;-19.5908855;-19.5909015;-19.5908189;-19.5908591;-19.59091;-19.590555;-19.590921;-19.5909;1.76108e-05;7.10508e-06;4.031e-06;1.0632e-06;4.30813e-07;1.17201e-05;1.62776e-05;8.59302e-06;1.85472e-06;36.1;37.7;40.9;23.0;23.0;25.6;43.9;994.65;
06142026-14:24:10;-19.432237;-19.4322657;-19.432257;-19.4322846;-19.4321986;-19.4322402;-19.432291;-19.431931;-19.432296;-19.43228;8.38146e-06;5.22076e-06;9.24689e-06;2.89938e-06;6.78233e-07;4.9558e-06;2.60569e-05;4.17612e-06;2.99333e-06;36.2;37.8;41.1;23.0;23.0;25.62;43.3;995.92;
06142026-18:32:33;-19.322864;-19.3228938;-19.3228968;-19.3229065;-19.3228278;-19.3228701;-19.322913;-19.322592;-19.322922;-19.322911;9.11136e-06;1.06625e-05;1.27014e-05;2.67851e-06;8.26075e-07;8.65794e-06;2.23464e-05;2.57682e-06;5.1614e-06;36.2;37.8;41.0;23.0;23.0;25.7;43.9;994.39;
06142026-14:53:35;-19.130451;-19.1304794;-19.1304895;-19.1304903;-19.1304125;-19.1304554;-19.130503;-19.130127;-19.130519;-19.130491;1.34812e-05;1.68641e-05;1.07572e-05;1.73735e-06;6.08605e-07;2.78568e-06;2.84577e-05;6.0663e-06;2.28035e-06;36.3;37.9;41.1;23.0;23.0;25.28;43.2;995.57;
06142026-17:27:11;-18.42932;-18.4293591;-18.4293446;-18.4293742;-18.4292844;-18.4293262;-18.429376;-18.429051;-18.429376;-18.429368;1.4592e-05;1.00952e-05;1.19533e-05;1.65529e-06;6.79412e-07;5.1225e-06;2.05582e-05;3.63318e-06;1.6e-06;36.2;37.8;41.0;23.0;23.0;25.37;43.7;995.08;
06142026-15:26:15;-18.156078;-18.1561291;-18.1561099;-18.1561188;-18.1560422;-18.156083;-18.156141;-18.155819;-18.156117;-18.15612;1.1854e-05;1.4886e-05;1.07496e-05;1.14787e-06;6.14492e-07;2.36643e-06;1.51789e-05;5.84466e-06;7.60526e-06;36.2;37.8;41.0;23.0;23.0;25.4;43.5;995.15;
06142026-15:13:11;-18.08614;-18.0861671;-18.0861697;-18.0861837;-18.0861051;-18.0861447;-18.086205;-18.085873;-18.086178;-18.086185;5.45038e-06;1.37411e-05;7.17054e-06;1.02098e-06;4.16653e-07;9.7857e-06;2.79786e-05;8.48528e-06;3.86782e-06;36.2;37.7;41.0;23.0;23.0;25.65;43.6;995.32;
06142026-15:39:19;-17.365612;-17.3656435;-17.3656523;-17.3656575;-17.3655765;-17.365615;-17.365674;-17.365367;-17.365644;-17.365657;8.64548e-06;2.76458e-06;1.09564e-05;1.78617e-06;6.49923e-07;9.26499e-06;2.27104e-05;2.09762e-06;6.31189e-06;36.1;37.7;40.9;23.0;23.0;25.39;43.9;994.58;
06142026-18:12:57;-16.162156;-16.1621956;-16.1621903;-16.1621914;-16.162127;-16.1621625;-16.162213;-16.161915;-16.162256;-16.162203;1.00831e-05;9.79993e-06;1.35239e-05;1.74631e-06;5.8515e-07;6.54217e-06;1.26712e-05;2.31517e-06;1.85472e-06;36.3;37.9;41.1;23.0;23.0;25.66;43.6;994.51;
06142026-18:48:54;-16.156383;-16.1564173;-16.1564131;-16.1564093;-16.156352;-16.1563878;-16.156438;-16.156169;-16.156487;-16.156426;1.31856e-05;9.43305e-06;1.28121e-05;1.02956e-06;7.90949e-07;8.87694e-06;2.93639e-05;3.86782e-06;2.24499e-06;36.3;37.8;41.1;23.0;23.0;25.95;43.7;993.61;
