date;source;3458b;3459x;3458ff;2002ltc;d1281;h34420a;h34401;k2001;k2001m;sdev;sdev2;sdev3;sdev4;sdev5;sdev6;sdev7;sdev8;sdev9;temp;temp2;temp3;temp4;temp5;roomtemp;roomr;roomp;
06132026-00:53:24;-0.381217;-0.381217497;-0.381217604;-0.381217313;-0.3812174;-0.3812202;-0.3812172;-0.3812219;-0.381215;-0.381214;3.5984e-07;2.47334e-07;6.23298e-08;4.32049e-07;2.86744e-07;4.49691e-07;5.65685e-07;4.54606e-06;2.16025e-06;34.1;35.3;38.3;23.0;23.0;23.520;45.6;1000.52;
06132026-00:55:43;10.552015;10.552013;10.552006;10.5520147;10.5519983;10.5520166;10.551998;10.552033;10.551927;10.552011;2.1276e-07;1.75689e-07;5.34748e-07;4.02768e-07;2.86744e-07;4.71405e-07;1.88562e-06;2.0548e-06;2.16025e-06;34.0;35.3;38.4;23.0;23.0;23.620;45.6;1000.50;
06132026-00:58:03;-6.144702;-6.14470328;-6.14470037;-6.14470372;-6.1446933;-6.1447045;-6.1446942;-6.1447195;-6.144855;-6.144723;5.60921e-07;3.1919e-07;3.43022e-07;6.48074e-07;2.16025e-07;1.41421e-07;5.65685e-07;2.44949e-06;3.74166e-06;34.1;35.4;38.4;23.0;23.0;23.450;45.4;1000.46;
06132026-01:00:22;10.785733;10.7857319;10.7857236;10.7857337;10.7857149;10.7857351;10.785718;10.785755;10.785637;10.78573;8.37987e-08;3.37178e-07;4.47387e-07;1.08423e-06;2.0548e-07;8.16497e-07;8.16497e-07;3.77124e-06;4.98888e-06;34.1;35.3;38.4;23.0;23.0;23.290;45.4;1000.46;
06132026-01:02:42;-9.832721;-9.83272065;-9.83271782;-9.83272385;-9.8327087;-9.8327228;-9.8327074;-9.8327457;-9.832792;-9.832763;4.86961e-07;1.83102e-07;4.01256e-07;7.11805e-07;3.09121e-07;6.59966e-07;5.65685e-07;2.16025e-06;2.16025e-06;34.1;35.5;38.4;23.0;23.0;23.140;45.4;1000.44;
06132026-01:05:01;8.617278;8.61727752;8.61727074;8.6172785;8.6172632;8.6172789;8.6172614;8.6172929;8.617258;8.617275;1.77619e-07;3.58244e-07;3.60663e-07;2.0548e-07;3.85861e-07;1.63299e-07;1.13137e-06;5.4365e-06;3.09121e-06;34.1;35.3;38.4;23.0;23.0;22.990;45.3;1000.53;
06132026-01:07:21;3.864993;3.86499282;3.86498988;3.8649933;3.8649868;3.864991;3.8649819;3.8649947;3.864738;3.864991;1.62498e-07;1.22274e-07;5.1332e-07;4.18994e-07;3.26599e-07;1.24722e-07;6.12826e-07;3.09121e-06;3.68179e-06;34.1;35.4;38.4;23.0;23.0;23.080;45.5;1000.51;
06132026-01:09:40;-9.959371;-9.95937056;-9.95936814;-9.95937409;-9.9593579;-9.9593722;-9.9593577;-9.9593943;-9.959445;-9.959413;4.57546e-07;2.2525e-07;4.40984e-08;6.94422e-07;1.63299e-07;4.98888e-07;1.53261e-06;3.39935e-06;3.68179e-06;34.1;35.4;38.4;23.0;23.0;23.220;45.6;1000.51;
06132026-01:12:00;-7.494024;-7.49402415;-7.49402166;-7.49402701;-7.494014;-7.4940252;-7.4940167;-7.4940438;-7.494107;-7.494058;2.30183e-07;2.03088e-07;4.10013e-07;1.24722e-07;9.42809e-08;4.32049e-07;1.02089e-06;1.88562e-06;2.86744e-06;34.1;35.3;38.4;23.0;23.0;23.350;45.6;1000.47;
06132026-01:14:19;6.589975;6.58997438;6.58996953;6.58997544;6.5899638;6.5899748;6.5899581;6.5899822;6.589901;6.58997;1.64998e-07;3.76601e-07;1.15014e-07;1.13235e-06;1.41421e-07;4.6428e-07;1.02089e-06;2.94392e-06;2.16025e-06;34.1;35.3;38.4;23.0;23.0;23.500;45.5;1000.53;
