date;source;3458b;3459x;3458ff;2002ltc;d1281;h34420a;h34401;k2001;k2001m;sdev;sdev2;sdev3;sdev4;sdev5;sdev6;sdev7;sdev8;sdev9;temp;temp2;temp3;temp4;temp5;roomtemp;roomr;roomp;
06132026-19:32:00;0.188049;0.188048074;0.188048266;0.188047848;0.188046382;0.188047856;0.1880473;0.18804692;0.18804552;0.18804657;34.8;36.2;39.5;23.0;23.0;24.030;45.3;998.95;
06132026-19:32:26;0.188049;0.188048039;0.188048187;0.188047846;0.188046245;0.188047905;0.18804725;0.18804667;0.18804554;0.18804661;34.8;36.2;39.5;23.0;23.0;24.050;45.3;998.94;
06132026-19:32:52;0.188049;0.188048039;0.188048038;0.188047811;0.188046111;0.188047908;0.18804732;0.18804667;0.1880456;0.18804652;34.8;36.2;39.5;23.0;23.0;24.090;45.3;999.03;
06132026-19:33:27;0.200653;0.200651965;0.200652221;0.200651714;0.200650068;1.99999999e+35;0.20065153;0.20065041;0.2006493;0.20065042;34.7;36.1;39.5;23.0;23.0;24.120;45.3;998.95;
06132026-19:33:34;0.200653;0.200651944;0.200652237;0.200651835;0.200650185;1.99999999e+35;0.20065144;0.20065041;0.2006492;0.20065045;34.7;36.1;39.5;23.0;23.0;24.130;45.3;998.96;
06132026-19:33:41;0.200653;0.200651942;0.200652097;0.200651756;0.200650017;1.99999999e+35;0.20065143;0.20065065;0.2006492;0.20065044;34.7;36.1;39.5;23.0;23.0;24.130;45.3;998.98;
06132026-19:33:48;0.200653;0.200652047;0.200652024;0.200651912;0.200649897;1.99999999e+35;0.2006514;0.20065089;0.20064921;0.20065043;34.7;36.1;39.5;23.0;23.0;24.140;45.3;999.01;
06132026-19:35:41;-0.044527;-0.0445273773;-0.0445268771;-0.0445269429;-0.044528281;-0.044527069;-0.04452744;-0.04452837;-0.04452646;-0.04452752;34.7;36.2;39.5;23.0;23.0;24.230;45.3;998.92;
06132026-19:36:07;-0.044527;-0.0445272827;-0.0445269085;-0.0445271686;-0.044527964;-0.044527129;-0.04452713;-0.044528;-0.04452647;-0.04452754;34.7;36.2;39.5;23.0;23.0;24.260;45.3;998.97;
06132026-19:36:33;-0.044527;-0.0445273282;-0.044526821;-0.0445270531;-0.044527878;-0.04452712;-0.04452729;-0.04452837;-0.0445265;-0.04452748;34.7;36.2;39.5;23.0;23.0;24.280;45.3;998.89;
06132026-19:37:00;-0.044527;-0.0445274175;-0.0445268111;-0.0445270094;-0.04452793;-0.044527154;-0.04452719;-0.04452837;-0.04452656;-0.04452759;34.7;36.2;39.5;23.0;23.0;24.280;45.2;998.94;
06132026-19:38:53;0.133768;0.133767124;0.133767397;0.133767105;0.133765937;0.133767247;0.13376677;0.13376618;0.13376526;0.13376607;34.7;36.2;39.5;23.0;23.0;24.380;45.2;998.93;
06132026-19:39:19;0.133768;0.13376724;0.133767379;0.133767099;0.13376586;0.133767263;0.1337668;0.13376618;0.13376542;0.13376599;34.7;36.2;39.5;23.0;23.0;24.400;45.2;998.91;
06132026-19:39:46;0.133768;0.133767271;0.133767379;0.133767183;0.133765848;0.133767254;0.13376669;0.1337663;0.13376523;0.13376604;34.7;36.2;39.5;23.0;23.0;24.390;45.2;998.89;
06132026-19:40:12;0.133768;0.133767035;0.133767572;0.133767152;0.133766088;0.133767276;0.13376667;0.13376618;0.1337654;0.13376609;34.7;36.2;39.5;23.0;23.0;24.390;45.2;998.95;
06132026-19:42:05;0.025114;0.0251135229;0.0251138556;0.0251136929;0.025112369;0.025114084;0.0251135;0.0251127;0.02511227;0.02511272;34.8;36.2;39.5;23.0;23.0;24.360;45.1;998.91;
06132026-19:42:31;0.025114;0.0251135422;0.0251138986;0.0251137419;0.025112715;0.025114053;0.02511348;0.02511245;0.02511222;0.02511272;34.8;36.2;39.5;23.0;23.0;24.330;45.1;998.96;
06132026-19:42:57;0.025114;0.0251135422;0.0251138474;0.0251135827;0.025112595;0.025114012;0.02511356;0.02511221;0.02511213;0.02511266;34.8;36.2;39.5;23.0;23.0;24.300;45.0;998.89;
06132026-19:43:24;0.025114;0.0251134721;0.0251137714;0.0251138434;0.02511261;0.02511399;0.02511346;0.02511221;0.02511216;0.02511268;34.8;36.2;39.5;23.0;23.0;24.250;45.0;999.01;
06132026-19:45:17;-0.037252;-0.0372522969;-0.0372519074;-0.0372519824;-0.037253321;-0.037252159;-0.03725223;-0.03725391;-0.03725139;-0.0372526;34.8;36.2;39.5;23.0;23.0;24.080;45.0;998.96;
